company,ticker,step_id,section,status,source_access,next_action
Microsoft Corporation,MSFT,1,Data & Evidence Gate,EXECUTED,VERIFIED,Maintain provenance registry
Microsoft Corporation,MSFT,2,Financial Statements / XBRL,EXECUTED,VERIFIED,Retain reconciliation checks
Microsoft Corporation,MSFT,3,Accounting Analytics,DERIVED_EXECUTED,VERIFIED,Add robustness where needed
Microsoft Corporation,MSFT,4,Audit / CAM / ICFR,EXECUTED,VERIFIED,Retain evidence mapping
Microsoft Corporation,MSFT,5,Text Analytics,DERIVED_EXECUTED,VERIFIED,Expand bounded robustness only
Microsoft Corporation,MSFT,6,Finance / Market,EXECUTED,VERIFIED,Add total-return sensitivity later
Microsoft Corporation,MSFT,7,Fama–French,REGISTERED_NOT_EXECUTED,VERIFIED,Execute CAPM FF3 FF5 and longer-window robustness
Microsoft Corporation,MSFT,8,Innovation / Patents,RESEARCH_PROTOTYPE,VERIFIED,Execute PatentsView entity resolution counts citations diversity
Microsoft Corporation,MSFT,9,Management Accounting,SYNTHETIC_EXECUTED,VERIFIED,Keep synthetic boundary explicit
Microsoft Corporation,MSFT,10,Professional AI Benchmark,REGISTERED_NOT_EXECUTED,VERIFIED,Build accounting-audit benchmark tasks
Microsoft Corporation,MSFT,11,Cost per Verified Professional Output,REGISTERED_NOT_EXECUTED,VERIFIED,Compute only after professional benchmark
Microsoft Corporation,MSFT,12,Digital Twin,RESEARCH_PROTOTYPE,VERIFIED,Complete missing scientific modules
Microsoft Corporation,MSFT,13,Evidence Passport,EXECUTED,VERIFIED,Extend to every promoted output
Microsoft Corporation,MSFT,14,Falsification / Robustness,RESEARCH_PROTOTYPE,VERIFIED,Complete remaining registered challenges
Microsoft Corporation,MSFT,15,Human–AI Experiment,DESIGN_ONLY,VERIFIED,Run preregistered participant pilot
Microsoft Corporation,MSFT,16,Human Gate,EXECUTED,VERIFIED,Current approval limited to research-prototype publication
Microsoft Corporation,MSFT,17,Automated Validation,EXECUTED_VALIDATED,VERIFIED,Preserve 15 of 15 bounded artifact validation
Microsoft Corporation,MSFT,18,Interactive Prototype V1,RESEARCH_PROTOTYPE,VERIFIED,Upgrade dashboard to five-view traceable application
Microsoft Corporation,MSFT,19,Reproducibility Package,RESEARCH_PROTOTYPE,VERIFIED,Complete clean-run manifest and environment freeze
Microsoft Corporation,MSFT,20,Independent Replication,REGISTERED_NOT_EXECUTED,VERIFIED,Run independent reviewer/environment replication
Walmart Inc.,WMT,1,Data & Evidence Gate,REGISTERED_NOT_EXECUTED,VERIFIED,Execute source registry and provenance capture
Walmart Inc.,WMT,2,Financial Statements / XBRL,REGISTERED_NOT_EXECUTED,VERIFIED,Extract and reconcile annual filing facts
Walmart Inc.,WMT,3,Accounting Analytics,REGISTERED_NOT_EXECUTED,VERIFIED,Run retail and common accounting features
Walmart Inc.,WMT,4,Audit / CAM / ICFR,REGISTERED_NOT_EXECUTED,VERIFIED,Extract public auditor report evidence
Walmart Inc.,WMT,5,Text Analytics,REGISTERED_NOT_EXECUTED,VERIFIED,Run bounded annual-filing text features
Walmart Inc.,WMT,6,Finance / Market,REGISTERED_NOT_EXECUTED,VERIFIED,Build return and macro package
Walmart Inc.,WMT,7,Fama–French,REGISTERED_NOT_EXECUTED,VERIFIED,Execute CAPM FF3 FF5 and robustness
Walmart Inc.,WMT,8,Innovation / Patents,REGISTERED_NOT_EXECUTED,VERIFIED,Resolve entities and validate patent measures if material
Walmart Inc.,WMT,9,Management Accounting,REGISTERED_NOT_EXECUTED,VERIFIED,Run synthetic retail BSC ABC TDABC microcase
Walmart Inc.,WMT,10,Professional AI Benchmark,REGISTERED_NOT_EXECUTED,VERIFIED,Run retail/accounting-audit benchmark tasks
Walmart Inc.,WMT,11,Cost per Verified Professional Output,REGISTERED_NOT_EXECUTED,VERIFIED,Compute verified professional cost metric
Walmart Inc.,WMT,12,Digital Twin,REGISTERED_NOT_EXECUTED,VERIFIED,Instantiate retail Digital Twin
Walmart Inc.,WMT,13,Evidence Passport,REGISTERED_NOT_EXECUTED,VERIFIED,Generate company-specific passports
Walmart Inc.,WMT,14,Falsification / Robustness,REGISTERED_NOT_EXECUTED,VERIFIED,Challenge sources definitions periods and models
